snr,cqi,mcs
-5.4,4.0,5
-5.4,5.0,5
-5.4,6.0,5
-5.4,7.0,5
-5.4,8.0,5
-5.4,9.0,5
-5.4,10.0,5
-5.4,11.0,5
-5.4,12.0,5
-5.4,13.0,5
-5.4,14.0,5
-5.4,15.0,5
-5.2,0.0,5
-5.2,1.0,5
-5.2,2.0,5
-5.2,3.0,5
-5.2,4.0,5
-5.2,5.0,5
-5.2,6.0,5
-5.2,7.0,5
-5.2,8.0,5
-5.2,9.0,5
-5.2,10.0,5
-5.2,11.0,5
-5.2,12.0,5
-5.2,13.0,5
-5.2,14.0,5
-5.2,15.0,5
-5.0,0.0,5
-5.0,1.0,5
-5.0,2.0,5
-5.0,3.0,5
-5.0,4.0,5
-5.0,5.0,5
-5.0,6.0,5
-5.0,7.0,5
-5.0,8.0,5
-5.0,9.0,5
-5.0,10.0,5
-5.0,11.0,5
-5.0,12.0,5
-5.0,13.0,5
-5.0,14.0,5
-5.0,15.0,5
-4.800000000000001,0.0,5
-4.800000000000001,1.0,5
-4.800000000000001,2.0,5
-4.800000000000001,3.0,5
-4.800000000000001,4.0,5
-4.800000000000001,5.0,5
-4.800000000000001,6.0,5
-4.800000000000001,7.0,5
-4.800000000000001,8.0,5
-4.800000000000001,9.0,5
-4.800000000000001,10.0,5
-4.800000000000001,11.0,5
-4.800000000000001,12.0,5
-4.800000000000001,13.0,5
-4.800000000000001,14.0,5
-4.800000000000001,15.0,5
-4.6000000000000005,0.0,5
-4.6000000000000005,1.0,5
-4.6000000000000005,2.0,5
-4.6000000000000005,3.0,5
-4.6000000000000005,4.0,5
-4.6000000000000005,5.0,5
-4.6000000000000005,6.0,5
-4.6000000000000005,7.0,5
-4.6000000000000005,8.0,5
-4.6000000000000005,9.0,5
-4.6000000000000005,10.0,5
-4.6000000000000005,11.0,5
-4.6000000000000005,12.0,5
-4.6000000000000005,13.0,5
-4.6000000000000005,14.0,5
-4.6000000000000005,15.0,5
-4.4,0.0,5
-4.4,1.0,5
-4.4,2.0,5
-4.4,3.0,5
-4.4,4.0,5
-4.4,5.0,5
-4.4,6.0,5
-4.4,7.0,5
-4.4,8.0,5
-4.4,9.0,5
-4.4,10.0,5
-4.4,11.0,5
-4.4,12.0,5
-4.4,13.0,5
-4.4,14.0,5
-4.4,15.0,5
-4.2,0.0,5
-4.2,1.0,5
-4.2,2.0,5
-4.2,3.0,5
-4.2,4.0,5
-4.2,5.0,5
-4.2,6.0,5
-4.2,7.0,5
-4.2,8.0,5
-4.2,9.0,5
-4.2,10.0,5
-4.2,11.0,5
-4.2,12.0,5
-4.2,13.0,5
-4.2,14.0,5
-4.2,15.0,5
-4.0,0.0,5
-4.0,1.0,5
-4.0,2.0,5
-4.0,3.0,5
-4.0,4.0,5
-4.0,5.0,5
-4.0,6.0,5
-4.0,7.0,5
-4.0,8.0,5
-4.0,9.0,5
-4.0,10.0,5
-4.0,11.0,5
-4.0,12.0,5
-4.0,13.0,5
-4.0,14.0,5
-4.0,15.0,5
-3.8000000000000003,0.0,5
-3.8000000000000003,1.0,5
-3.8000000000000003,2.0,5
-3.8000000000000003,3.0,5
-3.8000000000000003,4.0,5
-3.8000000000000003,5.0,5
-3.8000000000000003,6.0,5
-3.8000000000000003,7.0,5
-3.8000000000000003,8.0,5
-3.8000000000000003,9.0,5
-3.8000000000000003,10.0,5
-3.8000000000000003,11.0,5
-3.8000000000000003,12.0,5
-3.8000000000000003,13.0,5
-3.8000000000000003,14.0,5
-3.8000000000000003,15.0,5
-3.6,0.0,5
-3.6,1.0,5
-3.6,2.0,5
-3.6,3.0,5
-3.6,4.0,5
-3.6,5.0,5
-3.6,6.0,5
-3.6,7.0,5
-3.6,8.0,5
-3.6,9.0,5
-3.6,10.0,5
-3.6,11.0,5
-3.6,12.0,5
-3.6,13.0,5
-3.6,14.0,5
-3.6,15.0,5
-3.4000000000000004,0.0,6
